End Date,Start Date,Start Time,Subject,End Time,All day,Calendar Name,Repeats,Repeats Until,Created By,Updated By,Creation Date,Last Update Date,Who,Location,Description,Attachments
07/03/2023,07/03/2023,9:30,261332-001/801 (cpe2/cpe2s),11:00,,CPE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:42,,kampol,516,,
07/03/2023,07/03/2023,9:30,261433-701 (isne2),11:00,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:42,,pruet,518,,
07/03/2023,07/03/2023,9:30,261447-011/701 (isne3),11:00,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:42,,yuthapong,203,,
07/03/2023,07/03/2023,9:30,269130-701 (isne1),11:00,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:43,,"anya,myo",201,,
07/03/2023,07/03/2023,9:30,269497-703 (isne),11:00,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:43,,lachana,202-1,,
07/03/2023,07/03/2023,11:00,261214-001/801 (cpe2/cpe2s),12:30,,CPE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:43,,arnan,"516,521",,
07/03/2023,07/03/2023,11:00,269210-701 (isne2),12:30,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:43,,"myo,paskorn",518,,
07/03/2023,07/03/2023,11:00,269360-701 (isne3),12:30,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:43,,pruet,203,,
07/03/2023,07/03/2023,13:00,261430-001/801 (cpe) | 261736-001 (mcpe),14:30,,CPE|Grad,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:44,,anya,521,,
07/03/2023,07/03/2023,13:00,261494-002/802 (cpe) | 261707-001 (mcpe),14:30,,CPE|Grad,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:44,,sanpawat,501,,
07/03/2023,07/03/2023,13:00,261446-011/701 (isne3),14:30,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:44,,ken,203,,
07/03/2023,07/03/2023,13:00,269103-701 (isne1),14:30,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:44,,"trasapong,navadon",201,,
07/03/2023,07/03/2023,13:00,269470-701 (isne4),14:30,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:44,,natthanan,413A,,
07/03/2023,07/03/2023,13:00,270721-001,14:30,,Xternal > Grad,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:45,,paskorn,DS Sem 518,,
07/03/2023,07/03/2023,13:00,261111-001/002/801,16:00,,Xternal > Undergrad,"Weekly on Tuesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:44,,"kampol,thanatip",online,,
07/03/2023,07/03/2023,13:30,261102-001/801 (cpe1/cpe1s),14:30,,CPE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:45,,"karn,kasemsit",Slope/314-315/313,,
07/03/2023,07/03/2023,13:30,261102-002/003 (cpe1/reai1),14:30,,CPE|Xternal > Undergrad,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:45,,"kasemsit,karn",Slope/304/302,,
07/03/2023,07/03/2023,14:30,261102-001/801 (cpe1/cpe1s) lab,17:30,,CPE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:45,,"karn,kasemsit",314-315/313,,
07/03/2023,07/03/2023,14:30,261448-001/801 (cpe) | 261448-701 (isne),16:00,,CPE|ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:46,,narissara,521,,
07/03/2023,07/03/2023,14:30,261102-002/003 (cpe1/reai1) lab,17:30,,CPE|Xternal > Undergrad,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:46,,"kasemsit,karn",304/302,,
07/03/2023,07/03/2023,14:30,261759-001 (mcpe),16:00,,Grad,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:46,,natthanan,404,,
07/03/2023,07/03/2023,14:30,261205-701 (isne1),16:00,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:46,,ken,201,,
